801,0;808,3
820,0;820,2
825,0;827,2
255,3;280,7
284,3;285,6
287,3;288,6
95,4;96,6
102,4;103,6
173,4;176,6
52,5;59,8
434,33;480,82
482,125;499,143
424,231;443,260
605,289;627,328
342,290;365,330
369,290;394,330
446,290;468,329
474,290;496,329
553,290;567,328
576,290;600,328
402,291;417,329
502,291;523,329
240,303;262,330
299,303;306,310
529,312;544,317
426,313;441,318
609,345;630,380
633,345;656,380
374,346;393,382
467,346;486,381
492,346;511,381
516,346;538,381
559,346;578,380
583,346;605,380
398,347;420,382
427,347;440,381
273,358;283,382
287,358;306,382
309,358;329,382
335,358;341,364
541,366;554,371
448,367;462,371
335,376;341,383
589,397;610,433
354,398;373,434
447,398;466,434
496,398;518,433
563,398;584,433
619,398;631,432
378,399;400,434
408,399;420,433
471,399;491,433
539,399;558,433
237,400;261,435
296,408;297,408
264,410;284,435
287,411;309,434
315,411;321,417
429,419;442,424
522,419;535,423
315,429;321,434
502,449;545,496
637,449;643,454
651,449;659,484
335,451;392,486
195,452;200,458
207,452;218,487
390,452;419,486
296,458;310,487
612,460;632,484
676,460;695,484
698,460;720,484
724,460;758,483
548,461;571,495
575,461;608,485
636,461;644,484
418,462;438,486
441,462;461,486
312,463;333,487
131,464;166,488
192,464;203,488
223,464;229,470
665,478;670,484
223,482;230,488
572,482;573,484
473,483;474,486
487,483;487,485
637,501;661,536
453,503;481,538
566,503;595,537
423,504;454,538
215,505;221,510
600,507;613,536
226,511;239,540
615,512;635,537
675,512;694,536
697,512;719,536
723,512;757,535
481,513;500,538
503,513;523,537
266,515;272,522
303,515;337,539
340,515;410,538
193,516;209,541
213,516;223,540
241,516;261,540
664,531;670,536
266,533;272,540
412,533;417,538
816,644;834,671
837,644;854,671
857,644;874,671
991,644;1014,670
1104,644;1124,670
1126,644;1147,669
1160,644;1178,670
1180,644;1200,670
1202,644;1220,670
1224,644;1241,670
1244,644;1262,669
642,645;660,671
785,645;801,670
889,645;918,669
662,646;680,671
685,646;699,671
715,646;735,670
772,646;783,671
955,646;966,670
383,650;423,680
738,650;756,671
920,650;937,671
939,650;953,670
1017,650;1028,669
1050,650;1077,670
759,651;770,671
1082,664;1088,675
969,665;974,675
424,688;433,705
457,688;469,705
348,689;357,706
364,689;374,705
381,689;392,704
397,689;406,703
414,689;417,704
441,689;449,705
323,690;342,705
332,752;335,755
